 ,Area,Perim.,Circ.,AR,Round,Solidity,EqDiam_um,Image
354,1051,143.0538,0.6454,2.3076,0.4334,0.9494,36.5811,young37.png
355,551,128.0833,0.4221,3.9195,0.2551,0.8923,26.4869,young37.png
356,2739,308.2498,0.3622,2.0467,0.4886,0.7974,59.0542,young37.png
357,2176,258.5929,0.4089,1.5608,0.6407,0.8174,52.6362,young37.png
358,1390,244.2498,0.2928,1.8733,0.5338,0.7522,42.0690,young37.png
359,1684,192.0660,0.5737,2.3676,0.4224,0.8967,46.3048,young37.png
360,46,29.3137,0.6727,3.1108,0.3215,0.9485,7.6530,young37.png
361,1892,203.2792,0.5754,2.0483,0.4882,0.8755,49.0813,young37.png
362,500,111.2548,0.5076,3.5423,0.2823,0.8757,25.2313,young37.png
363,8629,566.9432,0.3374,2.7300,0.3663,0.8413,104.8179,young37.png
364,777,133.5391,0.5475,2.5153,0.3976,0.8576,31.4533,young37.png
365,259,76.8701,0.5508,3.5290,0.2834,0.9333,18.1595,young37.png
366,731,143.2965,0.4474,1.6354,0.6115,0.7740,30.5080,young37.png
367,9,9.8995,1.0000,1.3403,0.7461,0.8571,3.3851,young37.png
368,6953,399.4630,0.5476,2.8756,0.3477,0.9497,94.0895,young37.png
369,8876,520.2153,0.4122,2.6767,0.3736,0.8904,106.3075,young37.png
370,606,100.4680,0.7544,1.6294,0.6137,0.9238,27.7774,young37.png
371,1303,181.6812,0.4961,3.5447,0.2821,0.8882,40.7312,young37.png
372,4020,314.0071,0.5123,3.1141,0.3211,0.9251,71.5432,young37.png
373,64,32.1421,0.7785,2.1540,0.4642,0.9343,9.0270,young37.png
374,446,80.4264,0.8665,1.3779,0.7257,0.9499,23.8299,young37.png
375,106,39.7990,0.8410,1.8025,0.5548,0.9138,11.6174,young37.png
376,219,61.3553,0.7311,2.0974,0.4768,0.9221,16.6985,young37.png
377,1,2.8284,1.0000,1.0000,1.0000,1.0000,1.1284,young37.png
378,359,77.3553,0.7539,2.1765,0.4595,0.9460,21.3797,young37.png
379,711,127.3970,0.5505,2.4011,0.4165,0.8860,30.0878,young37.png
380,3,6.2426,0.9674,3.0000,0.3333,1.0000,1.9544,young37.png
381,6163,567.7645,0.2403,7.6014,0.1316,0.9170,88.5832,young37.png
382,104,45.5563,0.6297,3.3419,0.2992,0.9412,11.5073,young37.png
383,273,65.3553,0.8032,1.9167,0.5217,0.9381,18.6439,young37.png
384,29,22.3848,0.7273,2.1595,0.4631,0.7532,6.0765,young37.png
385,194,64.4264,0.5873,1.5611,0.6406,0.8220,15.7165,young37.png
386,58,33.7990,0.6380,1.8081,0.5531,0.8000,8.5935,young37.png
387,781,187.3553,0.2796,7.3660,0.1358,0.9265,31.5341,young37.png
388,251,95.4558,0.3462,5.3035,0.1886,0.9061,17.8769,young37.png
389,134,55.4558,0.5475,3.2959,0.3034,0.8673,13.0619,young37.png
390,148,67.7990,0.4046,3.8345,0.2608,0.8580,13.7273,young37.png
391,106,65.5563,0.3099,6.3072,0.1586,0.8870,11.6174,young37.png
392,56,33.5563,0.6250,3.0131,0.3319,0.9032,8.4440,young37.png
393,41,33.3137,0.4642,4.2016,0.2380,0.8367,7.2252,young37.png
